result,similarity,topK,shrink,tversky_alpha,tversky_beta,asymmetric_alpha
0.030237251303322436,asymmetric,13.0,15.0,,,0.03979006984190766
0.030497984239711857,asymmetric,9.0,12.0,,,0.03649094732855439
0.030688549775712733,asymmetric,5.0,14.0,,,0.018604556682914955
0.030484912983980393,asymmetric,10.0,16.0,,,0.02779818792701327
0.030737170310798406,asymmetric,6.0,22.0,,,0.04365176808359613
0.030735937822646286,asymmetric,6.0,22.0,,,0.0453156937557121
0.030733888836012958,asymmetric,5.0,22.0,,,0.04818342645949031
0.028955920448559175,asymmetric,34.0,21.0,,,0.04396761645465876
0.030562289555037325,asymmetric,9.0,13.0,,,0.05579581604822363
0.029010039558014546,dice,11.0,18.0,,,
0.02945747165764882,jaccard,6.0,20.0,,,
0.030521815348056973,asymmetric,9.0,22.0,,,0.033344257346556466
0.029989617011497948,asymmetric,16.0,15.0,,,0.02101791583828119
0.030763390768575045,asymmetric,5.0,16.0,,,0.030809948408082433
0.030772281383142263,asymmetric,6.0,16.0,,,0.0339997645081786
0.03076374596594884,asymmetric,5.0,16.0,,,0.03167340895720981
0.03074753759560996,asymmetric,5.0,19.0,,,0.03536916772494588
0.030760663893071843,asymmetric,5.0,16.0,,,0.03694356385165629
0.028204175133573272,cosine,5.0,44.0,,,
0.030591913989008474,asymmetric,9.0,18.0,,,0.033530262995286844
0.030313214760291075,asymmetric,12.0,16.0,,,0.03121577076887609
0.030754739331705427,asymmetric,5.0,19.0,,,0.037450904241761125
0.030759425011771833,asymmetric,5.0,19.0,,,0.03967459538205673
0.030756759402249666,asymmetric,5.0,19.0,,,0.038593925748087496
0.030754255656988527,asymmetric,5.0,19.0,,,0.03737767847094378
0.030755223100214567,asymmetric,5.0,19.0,,,0.037192013185142495
0.030655842061425242,asymmetric,8.0,20.0,,,0.039351081857577484
0.030585488799833353,asymmetric,9.0,18.0,,,0.039183821740161065
0.030747436422519363,asymmetric,5.0,19.0,,,0.02999864442825064
0.030468460079142685,asymmetric,10.0,21.0,,,0.05221963678247078
0.030687982605918457,asymmetric,8.0,18.0,,,0.041222238035692305
0.028803707546758796,asymmetric,41.0,16.0,,,0.03547685972739962
0.029446895640734293,jaccard,5.0,19.0,,,
0.0307383440121044,asymmetric,5.0,20.0,,,0.03666022529369708
0.030754432567200313,asymmetric,7.0,19.0,,,0.030214157588738313
0.030720940655272633,asymmetric,7.0,17.0,,,0.030531420461494867
0.030600870761765507,asymmetric,8.0,23.0,,,0.041825529373426394
0.030483015706570655,asymmetric,10.0,16.0,,,0.03217870604985114
0.030738673059958598,asymmetric,7.0,17.0,,,0.03777273754754858
0.030393780765362914,asymmetric,11.0,20.0,,,0.04599108862426779
0.02907407755190087,dice,5.0,50.0,,,
0.030575289146204793,asymmetric,9.0,18.0,,,0.028586120296221318
0.030749509349058003,asymmetric,7.0,14.0,,,0.051335859176543895
0.030744274454777343,asymmetric,7.0,14.0,,,0.06203665430776092
0.030732636730855578,asymmetric,7.0,13.0,,,0.051312077635153636
0.030765993435975397,asymmetric,5.0,16.0,,,0.04175298127579515
0.03076506692205843,asymmetric,5.0,16.0,,,0.03397318637062275
0.03078142287004788,asymmetric,6.0,16.0,,,0.024628530649850728
0.029111252855180163,cosine,5.0,16.0,,,
0.030579233810191397,asymmetric,9.0,16.0,,,0.02308474507159075
0.030684171244410825,asymmetric,8.0,18.0,,,0.0336215728353965
0.030307400479006354,asymmetric,11.0,12.0,,,0.04089489678171378
0.030757740165260228,asymmetric,5.0,16.0,,,0.025663158991199995
0.030751457071230705,asymmetric,5.0,16.0,,,0.024207435157400495
0.030704319712874295,asymmetric,6.0,14.0,,,0.01645198873522118
0.03066976587323103,asymmetric,8.0,17.0,,,0.028881047657577437
0.03076655043160319,asymmetric,6.0,16.0,,,0.0328894723278571
0.03071848422218688,asymmetric,5.0,14.0,,,0.03462042576394622
0.03054318220223476,asymmetric,9.0,13.0,,,0.04293005348661003
0.03077751969213447,asymmetric,6.0,16.0,,,0.026452315224379026
0.028175652427185928,asymmetric,61.0,15.0,,,0.026064494595285547
0.030723535032448672,asymmetric,7.0,16.0,,,0.018370433397725032
0.030501470177671637,asymmetric,10.0,17.0,,,0.032382615785374665
0.030761982920326468,asymmetric,6.0,18.0,,,0.038172288660618545
0.030765880250657424,asymmetric,6.0,18.0,,,0.027247100594434855
0.03074062576562942,asymmetric,7.0,15.0,,,0.027823859937415166
0.030767854354462016,asymmetric,6.0,18.0,,,0.03246374617540662
0.03058063721578022,asymmetric,9.0,16.0,,,0.02254226547185529
0.030762620105664402,asymmetric,6.0,17.0,,,0.025351724424519054
0.029356148766239716,jaccard,8.0,18.0,,,
0.03031348260597404,asymmetric,12.0,17.0,,,0.030460507796637778
0.030704024683393366,asymmetric,7.0,13.0,,,0.033996586508650874
0.029333608553963282,dice,6.0,15.0,,,
0.03077557453659263,asymmetric,6.0,16.0,,,0.02523927884036455
0.030757265460059857,asymmetric,6.0,17.0,,,0.018874655713500985
0.03062215705956009,asymmetric,8.0,14.0,,,0.02463641196418319
0.028225131355619836,asymmetric,57.0,18.0,,,0.046689495161451725
0.030594916931229642,asymmetric,9.0,16.0,,,0.028027187056848233
0.030743263046184653,asymmetric,7.0,15.0,,,0.03207491875178624
0.03075969421158281,asymmetric,6.0,17.0,,,0.021347813546199915
0.030487496887731325,asymmetric,10.0,17.0,,,0.021910383669435728
0.030730379614148935,asymmetric,6.0,14.0,,,0.025511496828084526
0.029042145115561847,cosine,8.0,15.0,,,
0.030749226112750643,asymmetric,5.0,17.0,,,0.04094399471950608
0.027537801474826446,asymmetric,80.0,18.0,,,0.035319417803483646
0.030768593794306142,asymmetric,6.0,16.0,,,0.029993585358567543
0.030731746624964966,asymmetric,7.0,16.0,,,0.028512190546435657
0.030432647562631043,asymmetric,7.0,32.0,,,0.020185760781720574
0.02779556161346844,asymmetric,76.0,14.0,,,0.031502903926736346
0.03077653029029358,asymmetric,6.0,16.0,,,0.034408229683770726
0.027980267370226557,tversky,9.0,15.0,0.13108245931890683,0.16272028306527697,
0.03077462836249707,asymmetric,6.0,16.0,,,0.03420883590351088
