result,factors,alpha
0.046335783739911714,2760.0,11.901829407351755
0.04633034000227268,2648.0,6.461344645519348
0.048184587633806286,5387.0,1.1654935837366893
0.04764093962724222,6198.0,4.114320645313396
0.04776159818237178,4681.0,11.67845917608939
0.047798517046935086,6533.0,1.978297498436759
0.046571450868120194,2829.0,4.719744598202624
0.047807484776931045,4305.0,11.256801910738595
0.0478445675221891,4468.0,6.142636880635036
0.0481383520959988,4441.0,1.320819566328479
0.048832784834679274,5713.0,0.1824647541257356
0.048809268512384985,5705.0,0.33531406722615265
0.04890634385514104,5645.0,0.2233286445252573
0.047731356062580624,5467.0,14.650086861160336
0.047294103416520565,6921.0,3.8801803112094064
0.04761470199354536,5992.0,8.186821895838984
0.047534936688537935,3667.0,2.7630011150163485
0.04780441340744593,5102.0,8.287712875612108
0.04825817006579574,3826.0,0.2869091167734327
0.0476621426676191,6391.0,2.938561262870884
0.04784647611912501,4968.0,9.581492357338604
0.04888697583261246,5892.0,0.2523354389138704
0.04858843648898241,5645.0,0.12654194678627112
0.04790086555762729,5942.0,2.2366536704173776
0.04718400791978357,6907.0,5.326753021479133
0.048074192246545966,5203.0,3.21094839209093
0.048102199122846134,5885.0,1.3317747007923801
0.04884622305165736,6519.0,0.14035363845612828
0.047789681982263514,6643.0,1.5851362089519698
0.04737079066303508,6252.0,13.951770343799778
0.04764162636539187,6490.0,3.5092197812024986
0.04889757902505286,6103.0,0.20374150595551627
0.04836538705944325,6141.0,0.8573910796269615
0.04752820531686763,6682.0,2.232066187354219
0.0484348468328646,5503.0,0.8405678019017273
0.04792683897550995,6111.0,2.191764662956837
0.046831180587605166,5251.0,0.0348500332724946
0.047622075509979205,6358.0,4.526309301356008
0.047835383514269345,6722.0,1.408329353094081
0.04794008767059583,4897.0,5.379952604653593
0.04762227729505259,5863.0,6.506713715642308
0.04851746165526002,5677.0,0.8159553719061026
0.04844929397520889,5408.0,0.7806941257830429
0.04803832801557003,5744.0,1.6685821645881511
0.04779517254295843,6176.0,2.7593937997724733
0.0482838335596429,4753.0,0.11275403117361506
0.0467005933150039,2870.0,2.147757565232023
0.048427304976397204,5553.0,0.8921893615392886
0.04848889736163025,6040.0,0.6712387598174137
0.047503450413267416,6310.0,9.839561928229386
0.04732642135844643,6832.0,3.618881536199168
0.048231182148373644,5827.0,0.08198609547687374
0.04808497269769732,5387.0,1.5606827034738497
0.04856897816484647,6505.0,0.48869173438793123
0.047944824603061244,5678.0,2.625856889580654
0.048061401748505,6001.0,1.2393675283284893
