result,similarity,topK,shrink,normalize_avg_row,similarity_from_distance_mode,normalize,asymmetric_alpha,tversky_alpha,tversky_beta
0.026694197434272114,jaccard,155.0,61.0,,,,,,
0.02629863696172157,jaccard,192.0,79.0,,,,,,
0.026105476358645352,jaccard,404.0,40.0,,,,,,
0.01228088431745719,euclidean,409.0,31.0,False,log,True,,,
0.025492607866096945,cosine,201.0,60.0,,,,,,
0.024752719184510216,asymmetric,115.0,76.0,,,,0.07130882771241516,,
0.02592063472176052,cosine,100.0,77.0,,,,,,
0.012877985799095881,euclidean,333.0,89.0,True,lin,True,,,
0.025689104709806017,dice,373.0,41.0,,,,,,
0.013774146699099885,euclidean,250.0,99.0,False,log,True,,,
0.029920996641919568,tversky,21.0,7.0,,,,,0.1713472572934025,1.4208397443282883
0.028153627579534535,tversky,11.0,0.0,,,,,0.022882518128568063,1.4716944313520872
0.028980039749587894,tversky,23.0,4.0,,,,,0.02186961981061563,1.4520518296793974
0.02901113272152254,tversky,21.0,6.0,,,,,0.0018719792577313807,1.3963102612344551
0.027466120983577192,tversky,75.0,17.0,,,,,0.19884207367156795,0.6820733987284551
0.026508185029871834,tversky,492.0,18.0,,,,,1.1286556177771927,1.9672434573323871
0.028435230707951824,tversky,56.0,17.0,,,,,0.6703524746260271,1.1852589203228783
0.026558655745151056,dice,140.0,27.0,,,,,,
0.029728076131490595,asymmetric,12.0,7.0,,,,0.001429735546449748,,
0.024568353634282027,asymmetric,287.0,13.0,,,,0.004049147897006569,,
0.027619415793228297,asymmetric,61.0,28.0,,,,0.0005241294489499032,,
0.02980846501540424,asymmetric,16.0,7.0,,,,0.13659168816347517,,
0.03046875439593815,asymmetric,6.0,7.0,,,,0.14580390736946253,,
0.02743077837272348,asymmetric,80.0,23.0,,,,0.14565146141014543,,
0.027635739378332424,asymmetric,52.0,38.0,,,,0.1370162976045869,,
0.026704867469499592,asymmetric,156.0,0.0,,,,0.10360223002133565,,
0.027238981405244722,asymmetric,112.0,11.0,,,,0.11311601881812045,,
0.026147219339966627,dice,204.0,49.0,,,,,,
0.027807940681756006,cosine,36.0,22.0,,,,,,
0.026833584487440342,jaccard,159.0,10.0,,,,,,
0.03040489222277116,asymmetric,5.0,34.0,,,,0.06777736013210511,,
0.02968191323725635,asymmetric,7.0,53.0,,,,0.05942177660833714,,
0.026890986137939787,asymmetric,78.0,34.0,,,,0.04517367207204913,,
0.028688153768077828,asymmetric,47.0,14.0,,,,0.10838591780838677,,
0.0269973899044266,jaccard,103.0,68.0,,,,,,
0.028573607014720927,asymmetric,42.0,23.0,,,,0.12834534766473438,,
0.025372873785889254,asymmetric,133.0,45.0,,,,0.08952831308312997,,
0.025634031900663094,cosine,181.0,59.0,,,,,,
0.011987667100543793,euclidean,87.0,33.0,True,exp,False,,,
0.02579360454788742,jaccard,472.0,7.0,,,,,,
0.013895765657118383,tversky,243.0,1.0,,,,,1.7745640150742061,0.01962425613000618
0.029746267211575545,asymmetric,18.0,10.0,,,,0.030387919097704358,,
0.029032020010429017,asymmetric,33.0,10.0,,,,0.02820101848484423,,
0.030736762228581672,asymmetric,5.0,19.0,,,,0.03387809323596958,,
0.030580120080588413,asymmetric,8.0,20.0,,,,0.12492384144430149,,
0.01208330223309712,euclidean,64.0,22.0,False,lin,False,,,
0.02936059031137101,dice,5.0,29.0,,,,,,
0.02784621707215216,tversky,36.0,36.0,,,,,0.6791723514847717,0.67387936589126
0.02702463585963415,cosine,88.0,20.0,,,,,,
0.02337137156669735,asymmetric,329.0,41.0,,,,0.08410649526075206,,
0.028217791422069156,tversky,64.0,15.0,,,,,1.4292196701760305,1.8428743536010357
0.02925204846285377,asymmetric,25.0,5.0,,,,0.14817340240454221,,
