result,l1_ratio,alpha
0.059495439211409,0.5148150223248044,6.265982472609507e-05
0.05967925314996361,0.6933124113706827,5.654062217465535e-05
0.05740263257056155,0.31629502111809493,2.356109944501167e-05
0.05984747947031796,0.38753808286891733,9.21744765588394e-05
0.05686483967562586,0.34832169072710706,1.283059465180825e-05
0.0597523372508606,0.46103092111802224,7.562603220732685e-05
0.05978187033580878,0.44791975795302585,7.764152757053654e-05
0.057564555615754714,0.43716972873609394,2.044903360680178e-05
0.057214798538226884,0.41739380133241155,1.5810193038108863e-05
0.057923591462148656,0.6063603379960283,2.0991802039840286e-05
0.05971173497258439,0.5475282791909275,9.908891135789743e-05
0.05986249071899967,0.3834536629508853,9.341834960611765e-05
0.05991501280944832,0.3750939052257332,9.858426465964472e-05
0.05973103387536446,0.3670493867915506,8.510069842864442e-05
0.058352165120389494,0.3334642103934974,4.2837765827623264e-05
0.05941192806194758,0.3866678582179387,6.850718877378523e-05
0.059857382546592515,0.49784215362367484,9.965469642628252e-05
0.05815633995322008,0.3063133388958089,3.940829051314615e-05
0.05982288956224724,0.4877803263848434,8.537269834761129e-05
0.05973789456785465,0.5861422300626806,9.038582340450672e-05
0.05960987698914219,0.4025727179870254,7.581925991522308e-05
0.05980772112187854,0.5167355010512984,9.98794748027726e-05
0.05981235437472079,0.4823909019873842,9.51162725559426e-05
0.0596071088546837,0.653616978887135,8.74194488431987e-05
0.05958779991839255,0.35419994290891627,8.104002198388587e-05
0.05974140852669981,0.5562860565356783,6.883835104424208e-05
0.05991092917009279,0.426026245070032,9.984983719495725e-05
