result,topK,l1_ratio,alpha
0.058869872039276114,483.0,0.21696125645826536,4.632301174635615e-05
0.057408367280046786,278.0,0.1468706617075467,1.7618128539512933e-05
0.059897066201110086,442.0,0.2956269003029388,8.479445367976704e-05
0.0599239894581217,435.0,0.4294903856092047,7.516007160880749e-05
0.05977523818442292,763.0,0.6450337634868879,6.917371462084051e-05
0.059675391362705034,758.0,0.880398602645182,5.5965019738790284e-05
0.05813726736187589,585.0,0.05106891797565116,4.4342479528611396e-05
0.059715587841165665,744.0,0.6634573582421875,5.5932354520585725e-05
0.058202331342237075,443.0,0.06397039326059362,4.60774870506e-05
0.059447883709365115,554.0,0.9599178140289074,6.812285913311098e-05
0.06001721416196575,142.0,0.4033590645217344,9.521340863590419e-05
0.05991515885278867,104.0,0.411729276205641,9.934427246650884e-05
0.05986614291734176,133.0,0.4911322694105323,9.922148989002308e-05
0.05995142107973807,289.0,0.33686216259842017,8.287690464523804e-05
0.05972996586376053,249.0,0.6355302165324859,8.649012639817352e-05
0.05994621703155038,274.0,0.2838361782838444,8.572590335277913e-05
0.057669102580394566,198.0,0.3117060698845199,2.012158157522757e-05
0.059769661781459114,348.0,0.5766636109040064,9.266477772265692e-05
0.05956651326541553,344.0,0.7918627461496623,7.729921382458184e-05
0.05844898405117386,175.0,0.3797404576397074,3.119594070509038e-05
0.05905982648713175,349.0,0.1721883547141702,6.419570622653705e-05
0.05996201535350122,265.0,0.283600460884899,8.370759349148776e-05
0.0599081510021231,211.0,0.5148600348832953,7.833284851187928e-05
0.060008565274682416,161.0,0.33410743289626166,9.081503838946232e-05
0.05979092167840412,151.0,0.24008951502437315,9.37445020094518e-05
0.059935527996840814,224.0,0.465578477011112,9.288967304404695e-05
0.05876411882353563,106.0,0.12890956953298005,9.06118284009663e-05
