result,l1_ratio,alpha
0.05613406109739671,0.2035365551273005,3.767586607334739e-06
0.056657220672600345,0.5559373147335073,7.184478475249376e-06
0.056293170299911,0.05656568738253709,9.935904677487873e-06
0.056789845862958245,0.5351396132775577,8.708617346562302e-06
0.05629723833158116,0.14937062556680158,7.599408234580405e-06
0.056414115367548034,0.8303816973900772,3.0234437716103027e-06
0.056167822750205924,0.567829615237994,2.1461212478781718e-06
0.056479122491341585,0.5066230455013288,5.369366969220548e-06
0.05629435202464932,0.30227436859264956,4.695313231582561e-06
0.05654280965089896,0.2683690187495579,8.901908696829022e-06
0.05602323203945417,0.9160610178753462,5.424147369442759e-07
0.05675506190676676,0.6947025426194469,6.83164919321543e-06
0.05676709654690925,0.7287005702283562,6.680903961895454e-06
0.05697889506507098,0.7406989739010038,8.312080848200348e-06
0.05728178226387056,0.9976949825207709,8.980912572935911e-06
0.05734891649219315,0.9791717131552772,9.536174875754853e-06
0.057397721723889156,0.9861277860958738,9.776953646858277e-06
0.05739971393342457,0.9789616374877664,9.950495272337068e-06
0.05674733944708476,0.8641528563855156,5.648044521960784e-06
0.05724096147800122,0.8018057543955635,9.984925880706767e-06
0.056542402736248436,0.38161392868000893,7.681364661231885e-06
0.057395033857526645,0.9903255534137315,9.853251846391767e-06
0.05717507697933119,0.9102885249483237,8.227889410304216e-06
0.056986678840659194,0.638525838608158,9.42055326658724e-06
0.05691080319377636,0.9330480684739606,6.450600340265321e-06
0.05701710044883045,0.7978124586355607,8.224715721482919e-06
0.057347816150384846,0.9945941294111562,9.297311614987438e-06
0.05673947205889717,0.40850705325308334,9.930397169476415e-06
0.05704096014019962,0.8756553901637236,7.73057532660982e-06
0.05644444890378131,0.636135879663952,4.010495686609604e-06
0.05600203568808507,0.7695910916156646,4.956850904655379e-07
0.05734577934746309,0.9968351877989058,9.37400521584415e-06
0.05720361005759033,0.9476248217183569,8.65508843415925e-06
0.05728043665843727,0.8580910496122703,9.998558181409424e-06
0.05727760163389973,0.9438693695658893,9.298891650611325e-06
0.056984662104761274,0.8910807075503582,7.32745104840335e-06
