result,topK,l1_ratio,alpha
0.03244622037605513,798.0,1.163097910281427e-05,0.14929565196812855
0.04154749641580495,729.0,8.347557758290899e-05,0.027661538414329983
0.05471963803548121,538.0,4.9426163115072966e-05,0.002741375904328748
0.056353419309380266,608.0,1.0538593699690003e-05,0.001866054512804347
0.034919195669089104,641.0,8.390413779899312e-05,0.09001867428140549
0.03459348891965726,431.0,7.256012818633235e-05,0.11232963941483616
0.05606538616757551,746.0,1.7079329095455382e-05,0.0019917578307937717
0.04558934284956032,646.0,5.7451226211573666e-05,0.014480298075074196
0.03633739021665579,520.0,3.142657424597051e-05,0.0741122051469697
0.04920134136905997,312.0,3.7222989148069846e-05,0.008390028532104011
0.04183272909294677,342.0,5.889498879782151e-05,0.03033750188685329
0.03838391895597826,422.0,2.8693645989479266e-05,0.05296431250436037
0.03280103991776877,799.0,3.334583803618099e-05,0.13423213022877548
0.05243661941997218,530.0,1.2728048703850778e-05,0.00440850112398156
0.05448745811008584,638.0,1.203446596270446e-05,0.0028520147362317057
0.05661292271742975,618.0,1.0698202234476407e-05,0.001713740156107851
0.05660675768176605,665.0,1.0551681270996056e-05,0.001683186481737685
0.055366193084901906,783.0,1.2993672661684087e-05,0.002368886119354067
0.045870765021837887,700.0,1.072543545623973e-05,0.013596286671601671
0.05728544003638611,798.0,2.6887704087324067e-05,0.0013270159003249949
0.05752152188308774,388.0,1.2266241065741703e-05,0.0012535954469301137
0.042420213513132285,629.0,1.2788730699807888e-05,0.024563293487758396
0.056674884112935385,303.0,1.0257403880537272e-05,0.001672241664397209
0.05748500101449755,773.0,6.56561536753363e-05,0.001234594911194835
0.057739659351119736,397.0,1.6964852697073956e-05,0.0011716256257856626
0.0570588253656082,350.0,1.06504414023804e-05,0.0014918923453893867
0.05712188487325251,776.0,7.995986796639301e-05,0.0013911853435436088
