result,factors,regularization,alpha,iterations
0.04088006831706657,654.0,0.5877525729677779,37.25569507092694,330.0
0.04040000824977512,568.0,0.4256034928270843,26.95927530633107,166.0
0.04075006298815708,605.0,0.48701096272482064,27.991378845079435,214.0
0.0401349507354548,609.0,0.47034607768934666,41.07717397080131,161.0
0.042998160522811385,892.0,0.4809315567273242,39.746101344067064,232.0
0.04273622900487475,827.0,0.481467828749462,32.86093776919363,165.0
0.03954405492121313,564.0,0.46747087267767734,43.382731691762785,354.0
0.04291000385732629,873.0,0.4992087805059936,37.17495180720566,438.0
0.04276264501211669,849.0,0.48935427847547847,37.705557028650645,154.0
0.03955224003727866,546.0,0.5883642710552923,39.25742041976152,99.0
0.043285842491698395,949.0,0.5602700288061673,41.72313140591218,234.0
