result,factors,iterations,regularization,alpha
0.027279619484633304,122.0,203.0,0.1149551173878709,31.40168583772485
0.005411336084745312,3.0,470.0,0.9420767954979459,31.763352876290064
0.019853490658800065,45.0,490.0,0.49543669509232613,38.482630398083465
0.03461632742247865,265.0,457.0,0.09638925734042814,18.21351526643521
0.03521310956371938,308.0,63.0,0.09439523531588456,27.638496684729468
0.029344768192428365,142.0,434.0,0.18445189650943172,15.829837647517214
0.018908352787197824,40.0,159.0,0.7191265817795159,29.47774638915756
0.036855551988083254,336.0,125.0,0.7901574988024191,14.057635545378583
0.027668570804263055,119.0,28.0,0.9331080599337755,18.5233109238035
0.03378367302345278,251.0,446.0,0.16397496485399543,24.058706177578383
0.03349564657065588,397.0,325.0,0.5644825071916673,0.4158491806375224
0.037688185205250614,363.0,54.0,0.30368463341723256,5.932447293840539
0.03834431445472179,397.0,105.0,0.3707848450257657,4.815638211952356
0.03089511412562314,393.0,2.0,0.3688620716191408,4.891390074533831
0.037281775574863105,345.0,291.0,0.34656270197307504,7.952606099919077
0.03275868400457395,207.0,117.0,0.32934525582715213,8.880101326361228
0.03595410002742356,356.0,217.0,0.4986468500811877,1.9245746750880008
0.03330218819746721,279.0,73.0,0.27709609948267133,49.80959354747548
0.03291462930632642,211.0,89.0,0.64559435575324,10.676198828149722
0.03783554182079123,400.0,166.0,0.4356122121441422,22.576904050703593
0.034988234035008885,322.0,167.0,0.00018787441567325036,38.94920850186149
0.037518834016725545,381.0,270.0,0.47422583614815794,20.862818785884432
0.03773129697634396,367.0,146.0,0.3958437639316722,12.347335329486922
