result,factors,alpha,regularization
0.0454691837403578,1610.0,1.2237073580995639,0.3106873884636875
0.048537960120132735,1764.0,8.546742566985625,0.7747662684672514
0.04863959625147823,1913.0,9.500468762323585,0.5911286320878204
0.0477519359103833,1562.0,13.185031561356148,0.6300696714651794
0.048398844362391294,1767.0,11.79385231317446,0.13833163709024107
0.04747222946864598,1350.0,5.986112193725315,0.7493113033382544
0.04780480694408054,1497.0,5.077099898457444,0.7151494610200161
0.04474976086796412,1944.0,0.7037311965670034,0.23572225250906254
0.04102704142948407,1470.0,0.22344718103849193,0.530008506211682
0.048494028945565426,1731.0,9.538674623887166,0.6168136737837199
0.04791671962131148,1943.0,19.169636470271357,0.44933304547350583
0.04849837011172678,1815.0,8.34925306789765,0.7789920698189541
0.04819039592237911,1859.0,15.360029589011502,0.47699562438760273
0.04841987125889204,1691.0,5.986561196247102,0.6392624193317522
0.04814208567727188,1863.0,15.343380617909268,0.3808563275284292
0.0485042285678594,1802.0,8.48314391919525,0.5478574799212632
0.04825802179278601,1886.0,3.9232671190197728,0.7056368715689026
0.04792209312436682,1677.0,11.333553485395475,0.7955945430568707
0.0481063095182338,1735.0,14.665755416066725,0.673408222644219
0.04860843662276257,1893.0,7.687141908043798,0.5722977711828662
0.04821121434479896,1901.0,3.500517119679891,0.5454654705615117
0.04852401688305464,1817.0,7.576205907877315,0.590592920554355
0.04866350388073791,1903.0,10.365656056877015,0.43781149051372426
0.048488491561814916,1950.0,10.756737135383688,0.4117731883893314
0.04833016051389237,1854.0,12.784070584192303,0.35705527240267715
