result,alpha_0,alpha_1,alpha_2
0.052981731204443244,0.09738646076365964,0.7046995401196545,0.9210425044634367
0.05518643380000133,0.3684681293954496,0.8356653021572328,0.1369842421062364
0.05871486096896777,0.31502597833591817,0.21036694554228452,0.8499958475719169
0.05844243439755239,0.7118922757493831,0.7224819913121904,0.5079751734331459
0.05776532284496676,0.8129524856795796,0.9955131019004503,0.2460442849534572
0.058171018981172336,0.6513439650088979,0.7192093483537898,0.8809262376497935
0.05413222719438285,0.31192376414689793,0.9084727957252994,0.08690219349051365
0.06010275876984479,0.9559385381293101,0.4711301114342593,0.8869698333829878
0.06006075737407193,0.9878586627367195,0.520937662010982,0.7042085899790614
0.05297504554099375,0.1520661799614551,0.6415262259395179,0.11810942490986476
0.0607625212654693,0.9502897315214438,0.25193868601651986,0.5653115003348341
0.06078734082947993,0.9572039838563208,0.23856353055912582,0.5880232629832144
0.06069153082406187,0.833793046262476,0.0792537787717355,0.5481027895075723
0.06023233711708049,0.5606711464443066,0.2808322392026011,0.3182031410527163
0.06051605473392046,0.8495506174557867,0.3045304856283522,0.6052918990378215
0.06017179490609576,0.7193696875923106,0.005480316322602707,0.7079567840527848
0.06056022225343567,0.9834793675487123,0.4259327667917494,0.3853494421775422
0.06064292068843102,0.5219442238143412,0.1398008650343755,0.39528738610636444
0.06023261694057959,0.8148852923381904,0.375451087397527,0.6777862778326357
0.06061456598371745,0.8965216313687483,0.20693368749474317,0.7740928137206361
0.05865132654175827,0.6246342451086144,0.5696914511918931,0.994336519791762
0.06045728288037436,0.8890085914950295,0.006162564456275055,0.5335851585809401
0.06066811372205238,0.7612413701534768,0.11236852114165821,0.6100523146786253
0.06088387213292238,0.9034214800092999,0.11608961606265625,0.4370630994782631
0.06067834678938566,0.919775840622918,0.32022872856452594,0.42840757330303625
0.06074634389973444,0.7602170537619951,0.20940496044489204,0.46910991119125794
0.06108282664097911,0.9945924318006905,0.16293432567723154,0.2966621607616989
0.06110140981990795,0.9992876176006741,0.14925389448078902,0.2450542420509539
0.06095275888132879,0.45127484884146907,0.0853870865708759,0.22298275495852216
0.060882165321059736,0.4169605264204503,0.06508626033728462,0.2444459619855207
0.051639759017338076,0.02378136057634228,0.16652044434724084,0.036612848989439395
0.060963158059026586,0.45491852453286097,0.07413004940303002,0.21098778398900048
0.06095081795418765,0.47834189442502395,0.06400140951005735,0.19548817085194414
0.05982021507390036,0.27615579216908603,0.1595728794479861,0.30298595419812246
0.06082720843171571,0.4121427559944969,0.03348535008457759,0.17319262362574
0.057212213236652654,0.24191691420326122,0.361877984910538,0.32622535885401777
0.060972520440491604,0.6018591641628873,0.17625331800589905,0.0550734102384306
0.0609202480730064,0.5565007892573182,0.1809982021557209,0.06542300233920709
0.05876804750087298,0.3828794738354566,0.3551121904265831,0.14364285705370752
0.05744256148870341,0.6023742003395769,0.7808519626592263,0.004636447176615932
0.060652135911720896,0.6753198667493372,0.25890392079414115,0.27944571945438124
0.06064090060802894,0.3288508936494076,0.10233780638243355,0.2194691040924288
0.060955415532320784,0.4982679020732289,0.054596977133960056,0.1252530774274246
0.060936784415501516,0.5114729342257351,0.044718083004327905,0.11499642432440949
0.06096532195309917,0.5729034688478738,0.1359268222308671,0.1568483791214832
0.060727173202940486,0.5728621904000295,0.214125682747475,0.1687607834406143
0.059520757106511876,0.19935035033062753,0.14718844441540566,0.08177546793375695
0.06091905631475617,0.9969384205113863,0.2848907118425157,0.25835037360531193
0.0599438424337269,0.7163926537712686,0.43118599265047386,0.3548393933628423
0.05722948091068387,0.6605503798499952,0.9109383608218984,0.008491054852194507
0.06099883611261431,0.7718419515582101,0.18556527395558825,0.07171164045087638
0.06099340686782576,0.786246470590166,0.17986250390298156,0.058944150884400706
0.06099922184540642,0.7724393419711915,0.17924877877768716,0.05258247374471896
0.060949018611047956,0.7798102726227794,0.2521932631290993,0.059879512117409606
0.06100706136272749,0.860036151926841,0.1893671397346639,0.09727310938112373
0.06081033540915387,0.861874439613658,0.3225382534757081,0.10499005332344154
0.06101611716466158,0.9411059745955709,0.22254313284032842,0.03360825283035973
0.06101161657714368,0.9525258018444469,0.23368898397753618,0.023187752696008368
0.061014015701329534,0.9429825646510835,0.23622613015832497,0.02031945668332181
0.06103980405665858,0.9488756067763038,0.23245131768139038,0.0010001883566835845
0.06066885285743118,0.9565084776602103,0.420177365811395,0.031306105660974935
0.06104616418838747,0.932621322549269,0.22429743795389254,0.005028433317985057
0.06101629553820694,0.9381118821430544,0.23217426835632274,0.004263386556449363
0.060983953069918335,0.9228602457085588,0.28229286911244444,0.0007603352864260738
0.06012358611094203,0.9756968046563418,0.573618414852416,0.12698670630364217
0.06087790219332387,0.9219314127987805,0.32292437998721163,0.08926144273805964
0.06100590750885551,0.8202053230759492,0.21642784474728258,0.03231789540039824
0.06089621335259621,0.8786522287011864,0.13213677073116922,0.4846539972257247
0.06098513590949133,0.9357240328258036,0.26190625136450585,0.003354253107985879
0.060996993290923056,0.9985116959100098,0.2285988906453374,0.18418337142052493
0.060571622552657634,0.8938026179273242,0.39939180613465486,0.1455945390918739
0.060996502763673244,0.9609565311520807,0.29606793368894124,0.028993373005977357
0.061005429244786864,0.9452102173871193,0.244803743283517,0.03251009004812934
0.06069877056033658,0.8356449155173256,0.34486440140757646,0.10058826132153509
0.060993162719035515,0.9674378428388603,0.10315456611321472,0.0020872549905226806
0.060972013190721826,0.9041736091847278,0.2680573099012941,0.07698793767093912
0.061017759316113945,0.936308043228053,0.2368727839677043,0.03830374950771814
0.060896178792721384,0.8662816316789169,0.2062846029426044,0.3885621154117003
0.060584990535052195,0.9985091592196527,0.462192323001946,0.0453697129967717
0.06073995143780084,0.9135535226505469,0.1439922185940644,0.6515167444755764
0.06087501588639208,0.9430667778791526,0.3137490705257887,0.1397209880706149
0.061006115982936815,0.9684830015073798,0.23488901468715598,0.02789996046493383
