result,alpha
0.061523046976900704,0.9665280542278493
0.061460670862902265,0.9105282791457197
0.061451101122190564,0.9172444802182294
0.061326527267739114,0.8091881628649293
0.061093340646646795,0.720255552645153
0.06018242485456782,0.5128562664367675
0.06105632925080691,0.7095511795032624
0.060870917754186044,0.6495003615497255
0.061210368185292637,0.7710791409841637
0.06017832114818854,0.5086511972913063
0.061531371447298575,0.9862520800440507
0.06155076288135496,0.9976637865198776
0.06155636269584651,0.9981915524030913
0.061403806491457415,0.8546827090100482
0.06152702136245965,0.9940660856810788
0.0614404923555767,0.8926577167107886
0.060709293484681515,0.6199830630076824
0.06140389121889163,0.8298925840468253
0.06146839778192294,0.9313303574697733
0.06140721342617481,0.8659217636914254
0.06151192092700516,0.9587636889324728
0.06153801586186542,0.9907011626298935
