result,alpha
0.0600759692929922,0.6615671873528312
0.05797081362862851,0.49409048349215656
0.05559607533606507,0.3581845287376244
0.05914695638989596,0.575070600069869
0.061313959736629564,0.9302980267975752
0.05306797815815753,0.22490428780724658
0.061308658697826604,0.9357420337696893
0.057123074401833264,0.4431495183919998
0.05526983123632743,0.33950894115561714
0.05677112332969693,0.42133165836591335
0.06127873542074772,0.9731080000838163
0.06120631576130748,0.9991582067597758
0.060898894529950384,0.762654247459206
0.06114458290690722,0.8102354107867936
0.04934650510482638,0.016386530968582003
0.06128270646180273,0.8450338678536223
0.061294601747612844,0.8803454077078071
0.06062519816185856,0.7142392873816155
0.05981769777724075,0.6295398271434447
0.061285040925578134,0.9112014402245352
0.06085758767616991,0.7524815601669312
0.06128227279112039,0.8911142483524215
0.06128851140587122,0.9090880533373127
0.06124207185332157,0.838872292119743
0.061245158830491836,0.9827128826864281
0.06037918759768536,0.6879630909680672
0.06104954882641158,0.7947817580286337
0.059186658996602456,0.5795566185640524
0.061276120018637914,0.8999400795736145
0.05995948133432141,0.6475755680051996
0.06131041010307567,0.9363725190969949
0.06132807800274939,0.9451248329331026
0.06127940655121235,0.9722907400987734
0.06130509345658745,0.9413207719334937
0.06128681239785137,0.8487721015337472
0.06081853055873089,0.7392227480850188
0.05020743394047073,0.06151467488125706
0.053260501185067345,0.23381637130715172
0.06129999977703112,0.9370914716951577
0.061088061904537035,0.8026864622586796
