result,alpha
0.06067208810761109,0.8356513809617129
0.0556126752241356,0.01733991973179838
0.05970954320764491,0.5230547038682144
0.056352820643168516,0.1081401737652713
0.06071894237865417,0.7804258087012942
0.060499875138516485,0.9074556513666202
0.060681777135631484,0.7459256805145846
0.060563780805666906,0.6929541477034569
0.057680379132968675,0.25593517351153616
0.06067000782613777,0.7399711509856441
0.060083139909518,0.9882621698510936
0.06002682069222125,0.580752026457271
0.0587277306202698,0.38645785252743114
0.06039843410323637,0.6524022962444636
0.060698858632274734,0.7669723583485802
0.059144013226396445,0.4439965316558166
0.060660214003659466,0.8464080727046144
0.060248919167796317,0.9640104060753515
0.06068178159496993,0.8296644586586608
0.060057833162761844,0.5895012758056057
0.05847373783993889,0.3470817506898482
0.06070691554235422,0.8060878781490699
0.06072009400285681,0.7777653437806559
0.06029884369349003,0.6346562100834312
0.06054761347344411,0.8981814237351203
0.060713056051655424,0.7912286571627899
0.059670259778770274,0.5182393865810979
0.06060446892621191,0.7070868503526379
0.060604538045960686,0.885131614234686
0.060719885528775656,0.7954732916774948
0.06029030517483764,0.9506091911998608
0.0607280450036439,0.8009367413493771
0.060376400511038424,0.6467875479461591
0.060594170083633304,0.8748803709071428
0.06061356597702836,0.7096046749745667
0.0607214964648577,0.7930222219760936
0.06039041844203915,0.9340935091798583
0.05632981045580946,0.10523714489205493
0.06001021745964668,0.5779468307197463
0.060668703469586686,0.8271511500183792
0.060707285667461156,0.754167524763141
0.06048562420707203,0.6759900324596823
0.060720310280780634,0.7856434769343716
0.060642786908272045,0.8546082428846322
0.060666157187226045,0.7392656011176061
0.06071321658784629,0.7913640740984502
0.06044161833858243,0.9264798251657261
0.060608700838576994,0.7059190422901842
0.06023747761969248,0.620409988805242
0.060151376709318236,0.9775673565930345
0.060666366776141914,0.745055033428309
0.06071620322989739,0.788438690453004
0.0606484591870164,0.8573503546594013
0.06066639241733885,0.8273598085507927
0.060703305707728965,0.7670895818337315
0.05986804928460862,0.5534474928497387
0.057913359509648925,0.28245264616069676
0.06045228284692924,0.6669456551960874
0.06048961754482017,0.9130603950756035
0.060654363351369804,0.7138959222810441
0.05908659701179524,0.43502596409033606
0.060709446217029894,0.8043484789576922
0.06072046301312887,0.7802650025186042
0.06069936588204451,0.7683118830508749
0.0606081378470742,0.8814886686919929
0.06067500117057465,0.8266996334028069
0.06054301701014543,0.6858070536556131
0.060674962151361894,0.7295140548266585
0.06063244235747238,0.8542084941071298
0.060273621674167735,0.6272451083326755
0.060697050370458035,0.771950157998633
0.06071457557129533,0.7810467030852618
0.060701071579072445,0.8147251155475826
0.060545893283565494,0.8990817908912097
0.060015718053853556,0.9995332695672728
0.06072364921058398,0.798186410662588
0.06066458750002635,0.7322746981394483
0.060640667607585574,0.8648400012035348
0.06032646372216359,0.9437136479794378
0.06070628120143336,0.8101246497357083
0.060669705705945036,0.8390057333441969
0.060710728276887616,0.7842318880085072
0.060725698276686994,0.7963210058833463
0.0606496197298963,0.7221361506306452
0.0606899655962009,0.7499496188347604
0.05564727634744303,0.022545075437682915
